time,latitude,longitude,altitude,timelocal,temperature,pressure,humidity,voc,noise,co2,ch2o,o3,pm1,pm25,pm10
1651352405,45.651464,25.615426,538,903360,8.82,95578,71,224691,51,580,7,20,6,8,9
1651352465,45.651464,25.615426,538,903420,8.81,95579,71,222591,45,575,7,20,6,8,9
1651352525,45.651464,25.615426,538,903480,8.790000000000001,95579,71,221930,51,574,7,20,6,8,9
1651352585,45.651464,25.615426,538,903540,8.77,95579,71,219405,50,578,7,20,6,8,9
1651352645,45.651464,25.615426,538,903600,8.75,95580,71,214161,51,582,7,20,6,8,9
1651352705,45.651464,25.615426,538,903660,8.74,95580,71,212517,44,584,7,20,6,8,9
1651352765,45.651464,25.615426,538,903720,8.74,95578,71,213336,48,588,7,20,7,9,10
1651352825,45.651464,25.615426,538,903780,8.74,95578,71,214877,50,589,7,20,6,8,9
1651352885,45.651464,25.615426,538,903840,8.700000000000001,95578,71,222178,47,589,7,20,6,8,9
1651352945,45.651464,25.615426,538,903900,8.67,95579,71,226729,51,584,7,20,6,8,9
1651353005,45.651464,25.615426,538,903960,8.65,95581,71,228406,47,581,7,20,6,8,9
1651353065,45.651464,25.615426,538,904020,8.63,95582,71,229972,50,581,7,20,6,8,9
1651353125,45.651464,25.615426,538,904080,8.620000000000001,95582,71,228287,47,576,7,20,5,7,8
1651353185,45.651464,25.615426,538,904140,8.620000000000001,95585,71,226742,50,575,7,20,8,10,11
1651353245,45.651464,25.615426,538,904200,8.63,95584,71,223186,42,574,7,20,8,10,11
1651353305,45.651464,25.615426,538,904260,8.63,95583,71,222684,48,577,7,20,7,9,10
1651353365,45.651464,25.615426,538,904320,8.63,95581,71,222681,45,576,7,20,7,9,10
1651353425,45.651464,25.615426,538,904380,8.620000000000001,95580,72,223810,50,581,7,20,8,10,11
1651353485,45.651464,25.615426,538,904440,8.6,95581,72,222805,42,583,7,20,7,9,10
1651353545,45.651464,25.615426,538,904500,8.57,95580,72,221315,52,584,7,20,7,9,10
1651353605,45.651464,25.615426,538,904560,8.540000000000001,95577,72,216565,46,585,7,20,6,8,9
1651353665,45.651464,25.615426,538,904620,8.52,95578,72,214401,51,585,7,20,7,9,10
1651353726,45.651464,25.615426,538,904680,8.5,95577,72,220199,44,585,7,20,6,8,9
1651353785,45.651464,25.615426,538,904740,8.450000000000001,95575,72,224188,54,582,7,20,6,8,9
1651353845,45.651464,25.615426,538,904800,8.4,95575,72,225338,49,582,7,20,6,8,9
1651353905,45.651464,25.615426,538,904860,8.370000000000001,95576,72,226222,56,583,7,20,6,8,9
1651353965,45.651464,25.615426,538,904920,8.34,95576,72,226862,49,583,7,20,5,7,7
1651354025,45.651464,25.615426,538,904980,8.27,95571,72,225880,46,584,7,20,5,7,7
1651354085,45.651464,25.615426,538,905040,8.33,95579,72,221192,50,585,7,20,5,7,7
1651354145,45.651464,25.615426,538,905100,8.33,95577,72,220567,48,586,7,20,5,7,8
1651354205,45.651464,25.615426,538,905160,8.360000000000001,95579,72,213289,48,586,7,20,6,8,9
1651354265,45.651464,25.615426,538,905220,8.370000000000001,95580,72,209500,51,582,7,20,6,8,9
1651354325,45.651464,25.615426,538,905280,8.38,95579,72,207685,48,580,7,20,6,8,9
1651354385,45.651464,25.615426,538,905340,8.41,95578,72,205760,48,577,7,20,6,8,9
1651354445,45.651464,25.615426,538,905400,8.43,95578,72,202329,51,577,7,20,6,8,9
1651354505,45.651464,25.615426,538,905460,8.450000000000001,95580,72,205089,49,576,7,20,6,8,9
1651354565,45.651464,25.615426,538,905520,8.47,95580,72,211114,48,577,7,20,6,8,9
1651354625,45.651464,25.615426,538,905580,8.48,95580,72,213455,46,582,7,20,6,8,9
1651354685,45.651464,25.615426,538,905640,8.48,95582,72,211231,51,585,7,20,6,8,9
1651354745,45.651464,25.615426,538,905700,8.48,95581,72,210543,46,588,7,20,6,8,9
1651354805,45.651464,25.615426,538,905760,8.46,95580,72,207455,51,588,7,20,7,9,10
1651354865,45.651464,25.615426,538,905820,8.47,95582,72,204647,46,588,7,20,6,8,9
1651354925,45.651464,25.615426,538,905880,8.47,95581,72,203532,46,588,7,20,7,9,10
1651354985,45.651464,25.615426,538,905940,8.46,95581,72,203648,53,590,7,20,7,9,10
1651355045,45.651464,25.615426,538,906000,8.46,95582,72,202541,46,585,7,20,7,9,10
1651355105,45.651464,25.615426,538,906060,8.46,95581,72,205979,44,585,7,20,7,9,10
1651355165,45.651464,25.615426,538,906120,8.450000000000001,95581,72,209727,48,586,7,20,7,9,10
1651355225,45.651464,25.615426,538,906180,8.440000000000001,95583,72,211927,45,585,7,20,7,9,10
1651355285,45.651464,25.615426,538,906240,8.43,95582,72,209403,47,584,7,20,8,10,11
1651355345,45.651464,25.615426,538,906300,8.43,95582,72,197739,40,584,7,20,8,10,11
1651355405,45.651464,25.615426,538,906360,8.42,95581,73,188080,56,587,7,20,7,9,10
1651355465,45.651464,25.615426,538,906420,8.4,95579,73,183565,44,588,7,20,6,8,9
1651355525,45.651464,25.615426,538,906480,8.42,95579,73,192591,50,587,7,20,6,8,9
1651355585,45.651464,25.615426,538,906540,8.43,95580,73,197053,47,585,7,20,7,9,10
1651355645,45.651464,25.615426,538,906600,8.43,95579,73,200476,45,585,7,20,8,10,11
1651355705,45.651464,25.615426,538,906660,8.440000000000001,95579,73,198037,45,586,7,20,7,9,10
1651355765,45.651464,25.615426,538,906720,8.43,95581,73,196739,52,585,7,20,7,9,10
1651355825,45.651464,25.615426,538,906780,8.43,95580,73,198012,47,586,7,20,7,9,10
1651355885,45.651464,25.615426,538,906840,8.42,95581,73,201995,50,586,7,20,7,10,11
