time,latitude,longitude,altitude,co2
1625086823,45.651464,25.615426,100,553
1625086883,45.651464,25.615426,100,551
1625086943,45.651464,25.615426,100,551
1625087003,45.651464,25.615426,100,558
1625087063,45.651464,25.615426,100,559
1625087123,45.651464,25.615426,100,559
1625087183,45.651464,25.615426,100,559
1625087243,45.651464,25.615426,100,558
1625087303,45.651464,25.615426,100,556
1625087363,45.651464,25.615426,100,554
1625087423,45.651464,25.615426,100,558
1625087483,45.651464,25.615426,100,560
1625087543,45.651464,25.615426,100,562
1625087603,45.651464,25.615426,100,560
1625087663,45.651464,25.615426,100,560
1625087723,45.651464,25.615426,100,562
1625087783,45.651464,25.615426,100,560
1625087843,45.651464,25.615426,100,560
1625087903,45.651464,25.615426,100,559
1625087963,45.651464,25.615426,100,560
1625088023,45.651464,25.615426,100,561
1625088083,45.651464,25.615426,100,565
1625088143,45.651464,25.615426,100,559
1625088203,45.651464,25.615426,100,558
1625088263,45.651464,25.615426,100,559
1625088323,45.651464,25.615426,100,559
1625088383,45.651464,25.615426,100,557
1625088443,45.651464,25.615426,100,556
1625088503,45.651464,25.615426,100,559
1625088563,45.651464,25.615426,100,562
1625088623,45.651464,25.615426,100,561
1625088683,45.651464,25.615426,100,558
1625088743,45.651464,25.615426,100,558
1625088803,45.651464,25.615426,100,561
1625088863,45.651464,25.615426,100,563
1625088923,45.651464,25.615426,100,562
1625088983,45.651464,25.615426,100,563
1625089043,45.651464,25.615426,100,560
1625089103,45.651464,25.615426,100,560
1625089163,45.651464,25.615426,100,563
1625089223,45.651464,25.615426,100,563
1625089283,45.651464,25.615426,100,565
1625089343,45.651464,25.615426,100,565
1625089403,45.651464,25.615426,100,564
1625089463,45.651464,25.615426,100,565
1625089523,45.651464,25.615426,100,562
1625089583,45.651464,25.615426,100,562
1625089643,45.651464,25.615426,100,563
1625089703,45.651464,25.615426,100,562
1625089763,45.651464,25.615426,100,560
1625089823,45.651464,25.615426,100,564
1625089883,45.651464,25.615426,100,562
1625089943,45.651464,25.615426,100,566
1625090003,45.651464,25.615426,100,567
1625090063,45.651464,25.615426,100,568
1625090123,45.651464,25.615426,100,566
1625090183,45.651464,25.615426,100,568
1625090243,45.651464,25.615426,100,568
1625090303,45.651464,25.615426,100,570
1625090363,45.651464,25.615426,100,570
1625090423,45.651464,25.615426,100,569
1625090483,45.651464,25.615426,100,571
1625090543,45.651464,25.615426,100,576
1625090603,45.651464,25.615426,100,577
1625090663,45.651464,25.615426,100,576
1625090723,45.651464,25.615426,100,575
1625090783,45.651464,25.615426,100,576
1625090843,45.651464,25.615426,100,575
1625090903,45.651464,25.615426,100,573
1625090963,45.651464,25.615426,100,574
