time,latitude,longitude,altitude,pm10
1638309618,45.651464,25.615426,538,9
1638309678,45.651464,25.615426,538,9
1638309738,45.651464,25.615426,538,10
1638309798,45.651464,25.615426,538,9
1638309858,45.651464,25.615426,538,9
1638309918,45.651464,25.615426,538,9
1638309978,45.651464,25.615426,538,7
1638310038,45.651464,25.615426,538,7
1638310098,45.651464,25.615426,538,8
1638310158,45.651464,25.615426,538,8
1638310218,45.651464,25.615426,538,10
1638310278,45.651464,25.615426,538,9
1638310338,45.651464,25.615426,538,8
1638310398,45.651464,25.615426,538,8
1638310458,45.651464,25.615426,538,7
1638310518,45.651464,25.615426,538,7
1638310578,45.651464,25.615426,538,7
1638310638,45.651464,25.615426,538,7
1638310698,45.651464,25.615426,538,7
1638310758,45.651464,25.615426,538,7
1638310818,45.651464,25.615426,538,8
1638310878,45.651464,25.615426,538,9
1638310938,45.651464,25.615426,538,9
1638310998,45.651464,25.615426,538,9
1638311058,45.651464,25.615426,538,9
1638311118,45.651464,25.615426,538,7
1638311178,45.651464,25.615426,538,6
1638311238,45.651464,25.615426,538,7
1638311298,45.651464,25.615426,538,8
1638311358,45.651464,25.615426,538,9
1638311418,45.651464,25.615426,538,8
1638311478,45.651464,25.615426,538,7
1638311538,45.651464,25.615426,538,8
1638311598,45.651464,25.615426,538,7
1638311658,45.651464,25.615426,538,7
1638311718,45.651464,25.615426,538,7
1638311778,45.651464,25.615426,538,6
1638311838,45.651464,25.615426,538,7
1638311898,45.651464,25.615426,538,6
1638311958,45.651464,25.615426,538,6
1638312018,45.651464,25.615426,538,7
1638312078,45.651464,25.615426,538,7
1638312138,45.651464,25.615426,538,6
1638312198,45.651464,25.615426,538,7
1638312258,45.651464,25.615426,538,7
1638312318,45.651464,25.615426,538,7
1638312378,45.651464,25.615426,538,7
1638312438,45.651464,25.615426,538,9
1638312498,45.651464,25.615426,538,8
1638312558,45.651464,25.615426,538,9
1638312618,45.651464,25.615426,538,9
1638312678,45.651464,25.615426,538,9
1638312738,45.651464,25.615426,538,10
1638312798,45.651464,25.615426,538,10
1638312858,45.651464,25.615426,538,10
1638312918,45.651464,25.615426,538,11
1638312978,45.651464,25.615426,538,11
1638313038,45.651464,25.615426,538,11
1638313098,45.651464,25.615426,538,11
1638313158,45.651464,25.615426,538,10
1638313218,45.651464,25.615426,538,10
1638313278,45.651464,25.615426,538,10
1638313338,45.651464,25.615426,538,11
1638313398,45.651464,25.615426,538,10
1638313458,45.651464,25.615426,538,10
1638313518,45.651464,25.615426,538,10
1638313578,45.651464,25.615426,538,10
1638313638,45.651464,25.615426,538,11
1638313698,45.651464,25.615426,538,11
1638313758,45.651464,25.615426,538,11
1638313818,45.651464,25.615426,538,11
1638313878,45.651464,25.615426,538,10
1638313938,45.651464,25.615426,538,12
1638313998,45.651464,25.615426,538,11
1638314058,45.651464,25.615426,538,11
1638314118,45.651464,25.615426,538,11
1638314178,45.651464,25.615426,538,11
1638314238,45.651464,25.615426,538,10
1638314298,45.651464,25.615426,538,10
1638314358,45.651464,25.615426,538,10
1638314418,45.651464,25.615426,538,10
1638314478,45.651464,25.615426,538,10
1638314538,45.651464,25.615426,538,10
1638314598,45.651464,25.615426,538,10
1638314658,45.651464,25.615426,538,10
1638314718,45.651464,25.615426,538,10
1638314778,45.651464,25.615426,538,10
1638314838,45.651464,25.615426,538,9
1638314898,45.651464,25.615426,538,9
1638314958,45.651464,25.615426,538,10
1638315018,45.651464,25.615426,538,10
1638315078,45.651464,25.615426,538,10
1638315138,45.651464,25.615426,538,9
1638315198,45.651464,25.615426,538,10
1638315258,45.651464,25.615426,538,10
1638315318,45.651464,25.615426,538,10
1638315384,45.651464,25.615426,538,10
1638315438,45.651464,25.615426,538,10
1638315498,45.651464,25.615426,538,10
1638315558,45.651464,25.615426,538,10
1638315618,45.651464,25.615426,538,10
1638315678,45.651464,25.615426,538,10
1638315738,45.651464,25.615426,538,10
1638315798,45.651464,25.615426,538,10
1638315858,45.651464,25.615426,538,10
1638315918,45.651464,25.615426,538,10
1638315978,45.651464,25.615426,538,10
1638316038,45.651464,25.615426,538,10
1638316098,45.651464,25.615426,538,11
1638316158,45.651464,25.615426,538,11
1638316218,45.651464,25.615426,538,11
1638316278,45.651464,25.615426,538,12
1638316338,45.651464,25.615426,538,12
1638316398,45.651464,25.615426,538,12
1638316458,45.651464,25.615426,538,11
1638316518,45.651464,25.615426,538,11
1638316578,45.651464,25.615426,538,11
1638316638,45.651464,25.615426,538,11
1638316698,45.651464,25.615426,538,11
1638316758,45.651464,25.615426,538,11
1638316818,45.651464,25.615426,538,11
1638316878,45.651464,25.615426,538,11
1638316938,45.651464,25.615426,538,11
1638316998,45.651464,25.615426,538,11
1638317058,45.651464,25.615426,538,11
1638317118,45.651464,25.615426,538,11
1638317178,45.651464,25.615426,538,11
1638317238,45.651464,25.615426,538,10
1638317298,45.651464,25.615426,538,11
1638317358,45.651464,25.615426,538,11
1638317418,45.651464,25.615426,538,12
1638317478,45.651464,25.615426,538,12
1638317538,45.651464,25.615426,538,12
1638317598,45.651464,25.615426,538,11
1638317658,45.651464,25.615426,538,11
1638317718,45.651464,25.615426,538,11
1638317778,45.651464,25.615426,538,12
1638317838,45.651464,25.615426,538,11
1638317898,45.651464,25.615426,538,11
1638317958,45.651464,25.615426,538,11
1638318018,45.651464,25.615426,538,12
1638318078,45.651464,25.615426,538,12
1638318138,45.651464,25.615426,538,11
